flightNumber,from,to,arrival,departure,status
2331,Patna,Guwahati,2/6/2022,7/17/2021,Arriving Late By 30mins
3199,Hyderabad City,Pune,4/6/2021,5/1/2021,Departed
3669,Bangalore,Chennai,7/10/2021,2/22/2021,Departing Early By 30mins
3896,Jaipur,Jammu,3/16/2021,4/7/2021,Arriving Early By 30mins
1073,Hyderabad City,Calicut,8/23/2021,7/1/2021,Departing Late By 30mins
4093,Chennai,Jammu,8/28/2021,7/2/2021,On Time
1530,Lucknow,Chandigarh,2/20/2022,11/3/2021,On Time
1205,Pune,Coimbatore,9/20/2021,6/24/2021,Arriving Late By 30mins
2348,Siliguri,Jaipur,3/9/2021,4/14/2021,Departed
2639,Mumbai,Guwahati,8/24/2021,4/4/2021,On Time
1304,Madurai,Indore,5/17/2021,7/12/2021,Departing Early By 30mins
4253,Lucknow,Agartala,3/19/2021,5/10/2021,Arriving Late By 30mins
2153,Lucknow,Patna,11/14/2021,3/20/2021,Arriving Early By 30mins
4740,Ahmedabad,Jammu,1/21/2022,8/4/2021,Arriving Late By 30mins
1356,Calicut,Naqpur,8/30/2021,8/2/2021,Departing Late By 30mins
2197,Madurai,Jammu,7/22/2021,11/28/2021,Departing Late By 30mins
3994,Indore,Lucknow,10/5/2021,12/20/2021,On Time
3988,Bangalore,Calicut,4/21/2021,3/9/2021,Departed
4569,Ahmedabad,Port Blair,4/17/2021,7/4/2021,Arriving Early By 30mins
3479,Srinagar,Port Blair,5/12/2021,4/17/2021,Departing Late By 30mins
4833,Hyderabad City,Siliguri,7/6/2021,1/15/2022,Arriving Late By 30mins
3265,Mangalore,Thiruvananthapuram,6/6/2021,1/13/2022,Departed
1458,Guwahati,Mumbai,10/13/2021,9/18/2021,Arriving Late By 30mins
2718,Thiruvananthapuram,Indore,12/14/2021,6/26/2021,On Time
2502,Bangalore,Coimbatore,10/16/2021,2/19/2022,Arriving Early By 30mins
3942,Naqpur,Mumbai,4/7/2021,9/14/2021,Arriving Early By 30mins
1183,Amritsar,Mumbai,6/23/2021,10/5/2021,On Time
1111,Thiruvananthapuram,Siliguri,7/16/2021,7/8/2021,Arriving Late By 30mins
1793,Calicut,Guwahati,11/28/2021,11/30/2021,Arriving Early By 30mins
1765,Pune,Ahmedabad,1/11/2022,9/28/2021,Departing Late By 30mins
2850,Visakhapatnam,Naqpur,8/15/2021,3/28/2021,On Time
3484,Calicut,Patna,2/28/2021,7/17/2021,Arriving Early By 30mins
2433,Tiruchirappally,Vasco da Gama,8/24/2021,3/29/2021,Departing Early By 30mins
4406,Bangalore,New Delhi,9/25/2021,10/22/2021,Arriving Late By 30mins
1596,Visakhapatnam,Kochi,3/21/2021,11/13/2021,Departing Early By 30mins
4540,Thiruvananthapuram,Vasco da Gama,5/28/2021,4/30/2021,Departing Late By 30mins
4528,Tiruchirappally,Jammu,3/19/2021,11/26/2021,Arriving Late By 30mins
3787,Mumbai,Tiruchirappally,1/4/2022,11/10/2021,Arriving Late By 30mins
4261,Kochi,Jaipur,6/27/2021,9/23/2021,On Time
3711,Tiruchirappally,Tiruchirappally,11/22/2021,3/31/2021,Departing Early By 30mins
3973,Chennai,Jaipur,3/4/2021,9/8/2021,Departed
4061,Chandigarh,Kochi,11/16/2021,1/14/2022,Arriving Early By 30mins
2472,Visakhapatnam,Naqpur,5/24/2021,8/2/2021,Departing Late By 30mins
1154,Srinagar,Kolkata,2/10/2022,11/17/2021,Arriving Early By 30mins
2976,Port Blair,Pune,6/18/2021,12/16/2021,Departing Early By 30mins
2270,Siliguri,Calicut,5/11/2021,4/18/2021,Departing Late By 30mins
1617,Port Blair,Jaipur,7/11/2021,9/26/2021,On Time
4862,Ahmedabad,Ahmedabad,8/13/2021,10/11/2021,On Time
4844,Chandigarh,Kochi,8/3/2021,3/27/2021,Departing Early By 30mins
1920,Agartala,Calicut,2/13/2022,2/3/2022,Arriving Early By 30mins
4169,Visakhapatnam,Mumbai,3/20/2021,4/26/2021,On Time
3609,Srinagar,Hyderabad City,4/14/2021,11/13/2021,Departing Early By 30mins
1944,Lucknow,Visakhapatnam,5/12/2021,11/22/2021,Arriving Late By 30mins
4930,Lucknow,Amritsar,8/3/2021,9/11/2021,Departed
1868,Visakhapatnam,Jaipur,4/11/2021,4/29/2021,Departing Late By 30mins
3348,Siliguri,Bangalore,11/5/2021,1/23/2022,Departing Late By 30mins
4140,Patna,Tiruchirappally,1/26/2022,6/6/2021,Departing Early By 30mins
2517,Srinagar,Naqpur,7/7/2021,9/30/2021,Arriving Late By 30mins
3101,Madurai,Pune,5/1/2021,10/16/2021,Departing Late By 30mins
4869,Ahmedabad,Tiruchirappally,7/27/2021,3/13/2021,Arriving Early By 30mins
2692,Guwahati,Chennai,3/29/2021,7/15/2021,Departed
4196,Chennai,Kochi,3/22/2021,5/26/2021,Arriving Late By 30mins
3406,Srinagar,Vasco da Gama,12/1/2021,2/10/2022,Departing Late By 30mins
3141,Madurai,Kochi,6/5/2021,1/31/2022,Departing Late By 30mins
4042,Indore,Ahmedabad,12/7/2021,4/23/2021,Departed
1917,Chennai,Lucknow,8/26/2021,5/23/2021,Arriving Early By 30mins
1405,Agartala,Ahmedabad,11/16/2021,10/13/2021,Departing Early By 30mins
4300,Madurai,Patna,6/28/2021,9/9/2021,On Time
3150,Mumbai,Bangalore,3/9/2021,9/29/2021,Arriving Early By 30mins
3046,Mangalore,Kochi,9/21/2021,7/22/2021,Departed
3552,Madurai,Mangalore,11/20/2021,5/5/2021,Departing Late By 30mins
3966,Vasco da Gama,Pune,12/27/2021,6/22/2021,Departing Early By 30mins
4600,Hyderabad City,Indore,8/2/2021,10/27/2021,Arriving Early By 30mins
4286,Amritsar,Patna,10/19/2021,1/7/2022,Arriving Early By 30mins
1810,Siliguri,Guwahati,6/17/2021,12/23/2021,Arriving Late By 30mins
2580,Kolkata,Kochi,4/21/2021,1/2/2022,Arriving Late By 30mins
4286,Guwahati,Visakhapatnam,4/17/2021,10/14/2021,Departing Late By 30mins
4227,Chandigarh,Tiruchirappally,3/25/2021,6/15/2021,Arriving Late By 30mins
1833,Patna,Kochi,9/23/2021,11/14/2021,Departing Late By 30mins
3313,Guwahati,Patna,12/9/2021,2/1/2022,Departing Late By 30mins
4252,Chandigarh,Thiruvananthapuram,12/14/2021,7/6/2021,Departed
1780,Kochi,Jaipur,7/6/2021,10/23/2021,Arriving Late By 30mins
1687,Siliguri,Bangalore,1/18/2022,6/28/2021,Arriving Early By 30mins
3322,Thiruvananthapuram,Naqpur,10/14/2021,12/27/2021,Departing Late By 30mins
3624,Amritsar,Indore,7/3/2021,12/26/2021,Departed
3846,Madurai,Chennai,1/1/2022,10/11/2021,Departing Early By 30mins
2199,Coimbatore,Guwahati,9/24/2021,12/21/2021,Departing Late By 30mins
3350,Jammu,Chennai,4/25/2021,6/12/2021,Arriving Late By 30mins
4707,Ahmedabad,Pune,3/6/2021,11/16/2021,Arriving Early By 30mins
2298,Chennai,Coimbatore,9/12/2021,8/12/2021,Departed
4697,Mangalore,Lucknow,12/14/2021,3/13/2021,Arriving Late By 30mins
4290,Chennai,Kolkata,1/8/2022,1/26/2022,Departing Early By 30mins
4583,Ahmedabad,Indore,4/14/2021,2/2/2022,Departing Early By 30mins
1335,Hyderabad City,Madurai,10/24/2021,9/27/2021,Departing Early By 30mins
4171,Jammu,Mangalore,5/4/2021,12/20/2021,On Time
3379,Guwahati,Srinagar,10/26/2021,6/18/2021,Arriving Late By 30mins
4885,Coimbatore,Lucknow,4/22/2021,5/24/2021,Arriving Late By 30mins
2566,Amritsar,Guwahati,1/27/2022,11/16/2021,Departing Early By 30mins
3475,Amritsar,Jammu,2/12/2022,10/2/2021,Departed
3508,Thiruvananthapuram,Kolkata,9/21/2021,4/18/2021,Departing Late By 30mins
2512,Vasco da Gama,Agartala,12/10/2021,2/18/2022,Departed
3433,Bangalore,Amritsar,1/6/2022,9/12/2021,Departing Late By 30mins
4088,Kochi,Indore,10/17/2021,1/1/2022,Arriving Early By 30mins
3771,Indore,Pune,8/15/2021,2/7/2022,Departing Early By 30mins
4846,Hyderabad City,Agartala,1/18/2022,11/13/2021,Departed
1894,New Delhi,Patna,11/10/2021,2/22/2022,Departing Early By 30mins
3359,Tiruchirappally,Chandigarh,7/30/2021,8/25/2021,Arriving Late By 30mins
3259,Visakhapatnam,Coimbatore,9/20/2021,2/28/2021,On Time
3714,Tiruchirappally,Chennai,12/3/2021,1/31/2022,Arriving Late By 30mins
4168,Calicut,Vasco da Gama,3/10/2021,7/11/2021,Departing Early By 30mins
1670,Indore,Coimbatore,5/12/2021,5/29/2021,Arriving Late By 30mins
4001,Coimbatore,Madurai,6/26/2021,11/17/2021,Departed
1322,Calicut,Coimbatore,12/21/2021,5/30/2021,Departing Early By 30mins
2449,Coimbatore,Kolkata,10/15/2021,6/13/2021,On Time
4561,Patna,Ahmedabad,10/25/2021,7/2/2021,Arriving Early By 30mins
1606,Tiruchirappally,Jammu,4/13/2021,7/28/2021,Departed
3250,Port Blair,Indore,8/28/2021,4/29/2021,Arriving Late By 30mins
4053,Madurai,Patna,4/5/2021,2/14/2022,Arriving Early By 30mins
1275,Coimbatore,New Delhi,1/26/2022,2/14/2022,On Time
3717,Indore,Thiruvananthapuram,4/20/2021,10/13/2021,Arriving Late By 30mins
1772,Lucknow,Thiruvananthapuram,10/13/2021,10/8/2021,Departing Early By 30mins
3207,Naqpur,Mumbai,1/25/2022,4/19/2021,Arriving Early By 30mins
1435,Amritsar,Jaipur,12/5/2021,9/27/2021,Departed
2465,Pune,Patna,12/29/2021,1/25/2022,Departed
4537,Visakhapatnam,Port Blair,2/21/2022,11/26/2021,On Time
1890,Madurai,Coimbatore,1/22/2022,5/17/2021,On Time
1367,Chennai,New Delhi,1/10/2022,12/5/2021,Arriving Early By 30mins
3539,Lucknow,Chennai,8/7/2021,11/23/2021,Departed
3640,Kolkata,Visakhapatnam,7/22/2021,4/15/2021,On Time
3090,Visakhapatnam,Indore,7/5/2021,6/11/2021,Departing Early By 30mins
1758,Patna,Calicut,7/26/2021,7/12/2021,Arriving Late By 30mins
4536,Coimbatore,Hyderabad City,12/14/2021,7/15/2021,Departing Early By 30mins
4353,Pune,Indore,1/15/2022,4/15/2021,Departing Late By 30mins
4340,Visakhapatnam,Chandigarh,3/9/2021,4/28/2021,Arriving Late By 30mins
3851,Kolkata,Chandigarh,2/27/2021,6/7/2021,Departed
1439,Visakhapatnam,Jammu,9/11/2021,5/5/2021,Departing Early By 30mins
1795,Coimbatore,Port Blair,11/13/2021,11/13/2021,Departing Late By 30mins
2135,Indore,Visakhapatnam,2/2/2022,1/14/2022,Departing Late By 30mins
2722,Chandigarh,Kolkata,4/22/2021,8/27/2021,Departed
3139,Hyderabad City,Vasco da Gama,8/31/2021,8/28/2021,On Time
2025,Siliguri,Bangalore,11/13/2021,2/21/2022,Arriving Early By 30mins
4507,Pune,Vasco da Gama,1/24/2022,12/11/2021,Departed
2675,Calicut,Naqpur,11/13/2021,9/15/2021,Departed
2703,Coimbatore,Visakhapatnam,4/18/2021,12/18/2021,Arriving Early By 30mins
4606,Tiruchirappally,Siliguri,12/5/2021,6/12/2021,Departing Late By 30mins
2074,Vasco da Gama,Bangalore,4/30/2021,8/17/2021,Departing Early By 30mins
2998,Madurai,Mumbai,1/21/2022,5/22/2021,Arriving Early By 30mins
2087,Pune,Patna,4/15/2021,3/4/2021,Arriving Early By 30mins
3874,Chennai,Indore,6/18/2021,6/29/2021,On Time
2301,Jaipur,Indore,4/8/2021,7/30/2021,Arriving Early By 30mins
3700,Patna,Vasco da Gama,12/27/2021,11/5/2021,Departing Early By 30mins
1980,Port Blair,Hyderabad City,9/4/2021,7/13/2021,On Time
1582,Pune,Bangalore,10/2/2021,3/27/2021,Departing Late By 30mins
4446,Vasco da Gama,Ahmedabad,6/3/2021,1/15/2022,Departing Early By 30mins
2225,Indore,Guwahati,9/8/2021,6/19/2021,Arriving Early By 30mins
2928,Amritsar,Thiruvananthapuram,4/24/2021,10/6/2021,On Time
4131,Patna,Chandigarh,10/29/2021,10/16/2021,On Time
4042,Lucknow,Port Blair,9/27/2021,10/14/2021,Departed
1413,Madurai,Mumbai,11/7/2021,11/23/2021,Departing Early By 30mins
1842,Port Blair,Jaipur,4/21/2021,9/14/2021,On Time
4214,Kolkata,Srinagar,7/5/2021,6/15/2021,Departing Early By 30mins
1132,Lucknow,Port Blair,1/31/2022,6/20/2021,Departed
4946,Coimbatore,Hyderabad City,2/8/2022,1/11/2022,Arriving Early By 30mins
4445,Hyderabad City,Calicut,9/28/2021,2/20/2022,Departing Late By 30mins
2777,Srinagar,Mangalore,7/24/2021,7/25/2021,On Time
2502,Jammu,Vasco da Gama,6/14/2021,10/20/2021,Departed
2918,Kochi,Kochi,9/16/2021,9/18/2021,On Time
3638,Visakhapatnam,Agartala,1/28/2022,3/25/2021,On Time
3803,Chandigarh,Siliguri,7/22/2021,12/8/2021,On Time
4414,Jammu,New Delhi,7/20/2021,1/25/2022,Arriving Late By 30mins
4437,Patna,Lucknow,8/24/2021,8/25/2021,Arriving Early By 30mins
2931,Calicut,Hyderabad City,9/28/2021,7/7/2021,Arriving Late By 30mins
4343,Indore,Ahmedabad,11/16/2021,6/19/2021,Arriving Late By 30mins
2766,Chandigarh,Calicut,9/23/2021,3/7/2021,Departing Early By 30mins
2138,Guwahati,Siliguri,11/23/2021,12/27/2021,Arriving Early By 30mins
3026,Port Blair,Port Blair,6/21/2021,4/14/2021,Arriving Late By 30mins
4738,Srinagar,Hyderabad City,1/21/2022,4/3/2021,Departing Late By 30mins
4141,Chandigarh,Bangalore,2/2/2022,3/10/2021,Departing Late By 30mins
1502,Jammu,Madurai,5/11/2021,11/26/2021,Departed
4750,Patna,Thiruvananthapuram,2/27/2021,5/13/2021,Arriving Early By 30mins
2557,Mangalore,Patna,8/25/2021,12/19/2021,Arriving Early By 30mins
2219,Visakhapatnam,Vasco da Gama,6/6/2021,12/24/2021,Departed
3919,Guwahati,Chandigarh,5/8/2021,4/25/2021,Departing Early By 30mins
4653,Mangalore,New Delhi,7/13/2021,8/25/2021,On Time
3223,Lucknow,Mangalore,2/17/2022,6/12/2021,On Time
4451,Kochi,Port Blair,7/3/2021,1/26/2022,Arriving Early By 30mins
2647,Indore,Vasco da Gama,1/4/2022,8/3/2021,Departing Late By 30mins
3506,Srinagar,Chandigarh,10/12/2021,4/17/2021,Departing Late By 30mins
3402,Chennai,Vasco da Gama,9/16/2021,6/13/2021,Departed
4965,Kolkata,Chandigarh,7/12/2021,1/5/2022,Arriving Late By 30mins
3959,Lucknow,Siliguri,7/14/2021,11/16/2021,Departed
2713,Madurai,Hyderabad City,6/18/2021,2/4/2022,Departing Early By 30mins
3628,Visakhapatnam,Port Blair,10/16/2021,10/8/2021,Departing Late By 30mins
3551,Pune,Siliguri,5/26/2021,4/26/2021,Departed
4365,Jaipur,Kochi,3/22/2021,3/13/2021,Arriving Early By 30mins
3056,Lucknow,Hyderabad City,12/12/2021,9/17/2021,Arriving Early By 30mins
3173,Srinagar,Kolkata,8/25/2021,12/11/2021,Arriving Late By 30mins
1135,Ahmedabad,Pune,9/23/2021,6/5/2021,Arriving Early By 30mins
2032,Madurai,Calicut,5/19/2021,6/20/2021,On Time
2866,Hyderabad City,Jammu,8/31/2021,3/16/2021,Departing Early By 30mins
2894,Kochi,Bangalore,4/8/2021,9/21/2021,Arriving Early By 30mins
2114,Visakhapatnam,Indore,10/14/2021,2/15/2022,Arriving Late By 30mins
3181,Siliguri,Visakhapatnam,6/14/2021,7/29/2021,Arriving Early By 30mins
1094,Madurai,Ahmedabad,4/21/2021,1/14/2022,Arriving Late By 30mins
4743,Chennai,Pune,10/14/2021,1/12/2022,On Time
3850,Mangalore,Srinagar,4/14/2021,11/19/2021,Arriving Late By 30mins
1314,Coimbatore,Mangalore,5/24/2021,5/26/2021,Departed
2031,Agartala,Calicut,6/4/2021,1/31/2022,Departed
1675,Amritsar,Port Blair,11/27/2021,6/10/2021,Departing Early By 30mins
3938,Jammu,Chandigarh,8/26/2021,2/3/2022,Departing Early By 30mins
3932,Jaipur,Patna,8/19/2021,1/15/2022,On Time
1337,Calicut,Ahmedabad,7/26/2021,3/19/2021,Arriving Early By 30mins
2651,Coimbatore,Madurai,7/21/2021,5/9/2021,Arriving Early By 30mins
1048,Vasco da Gama,Lucknow,5/29/2021,11/17/2021,Arriving Early By 30mins
3420,Coimbatore,Coimbatore,12/11/2021,7/15/2021,On Time
3266,Hyderabad City,New Delhi,7/24/2021,8/4/2021,Departed
1039,Vasco da Gama,Vasco da Gama,6/23/2021,10/5/2021,On Time
3992,Kolkata,Mumbai,9/25/2021,10/10/2021,Arriving Late By 30mins
2088,Siliguri,Vasco da Gama,9/1/2021,3/12/2021,Departing Early By 30mins
3443,Mumbai,Bangalore,12/5/2021,8/26/2021,Departing Late By 30mins
3030,Lucknow,Hyderabad City,3/12/2021,10/30/2021,On Time
3241,Lucknow,Siliguri,4/18/2021,7/23/2021,Departing Early By 30mins
1678,Lucknow,Mumbai,3/29/2021,10/13/2021,Arriving Early By 30mins
4739,Jammu,Visakhapatnam,5/19/2021,10/10/2021,On Time
1809,Ahmedabad,Patna,11/9/2021,9/16/2021,Arriving Early By 30mins
3520,Port Blair,Srinagar,5/19/2021,12/30/2021,Departed
3519,Hyderabad City,Siliguri,11/2/2021,9/26/2021,Departing Late By 30mins
3418,Siliguri,Jammu,5/20/2021,9/8/2021,On Time
3640,Coimbatore,Madurai,10/13/2021,6/12/2021,Departed
2844,Vasco da Gama,Amritsar,11/20/2021,1/25/2022,Arriving Late By 30mins
4614,Naqpur,Jaipur,6/14/2021,9/5/2021,On Time
1030,Kochi,Chandigarh,1/28/2022,3/18/2021,Arriving Late By 30mins
3733,Visakhapatnam,Hyderabad City,12/9/2021,9/23/2021,Arriving Early By 30mins
2710,Ahmedabad,Jaipur,8/8/2021,10/31/2021,Arriving Late By 30mins
4378,Naqpur,Port Blair,9/20/2021,5/24/2021,Departed
2344,Bangalore,Ahmedabad,7/16/2021,9/27/2021,On Time
1408,Ahmedabad,New Delhi,8/29/2021,1/23/2022,Departing Early By 30mins
3707,Chennai,Lucknow,12/31/2021,8/13/2021,Arriving Late By 30mins
1185,Jaipur,Mumbai,1/21/2022,10/21/2021,Departing Early By 30mins
3989,Tiruchirappally,Lucknow,3/21/2021,10/3/2021,Departing Early By 30mins
4155,Coimbatore,Guwahati,11/4/2021,10/15/2021,Arriving Early By 30mins
4559,Patna,Mumbai,12/28/2021,6/12/2021,Departed
4159,Kolkata,Naqpur,11/9/2021,7/19/2021,Arriving Early By 30mins
4560,Port Blair,Lucknow,12/20/2021,1/7/2022,Arriving Early By 30mins
4739,Naqpur,Jaipur,1/27/2022,5/28/2021,Departing Early By 30mins
2873,Lucknow,Hyderabad City,1/18/2022,5/15/2021,Arriving Early By 30mins
2947,Vasco da Gama,Vasco da Gama,5/28/2021,11/13/2021,Arriving Late By 30mins
4375,Calicut,Vasco da Gama,6/27/2021,4/26/2021,Departing Late By 30mins
4455,Guwahati,Bangalore,1/18/2022,8/21/2021,Departing Early By 30mins
2769,Indore,Vasco da Gama,8/28/2021,11/20/2021,Departed
3432,Patna,Agartala,6/10/2021,8/25/2021,Arriving Early By 30mins
1594,Patna,Madurai,1/13/2022,12/5/2021,Arriving Early By 30mins
3686,Jaipur,Jammu,2/7/2022,8/1/2021,On Time
1946,Bangalore,Kochi,10/31/2021,12/15/2021,On Time
2324,Port Blair,Vasco da Gama,6/4/2021,9/12/2021,Departing Late By 30mins
2592,Kochi,Thiruvananthapuram,7/18/2021,7/11/2021,Departed
3495,New Delhi,Lucknow,8/11/2021,2/12/2022,Arriving Early By 30mins
1395,Mangalore,Amritsar,4/6/2021,5/3/2021,Arriving Late By 30mins
3832,Pune,Ahmedabad,12/30/2021,6/4/2021,Arriving Early By 30mins
4674,Hyderabad City,Naqpur,6/16/2021,4/6/2021,Departing Late By 30mins
3276,New Delhi,Tiruchirappally,9/21/2021,3/29/2021,Arriving Early By 30mins
3576,Pune,Pune,11/16/2021,8/17/2021,Departing Early By 30mins
4434,Mumbai,Tiruchirappally,9/7/2021,7/6/2021,Departed
4984,Mumbai,Jaipur,2/26/2021,3/16/2021,Arriving Early By 30mins
2943,Guwahati,Patna,6/28/2021,7/28/2021,Arriving Early By 30mins
3393,Thiruvananthapuram,Jammu,11/8/2021,3/21/2021,Departed
4442,Jaipur,Kochi,4/8/2021,9/14/2021,Departed
3672,Port Blair,Port Blair,7/5/2021,3/4/2021,Arriving Early By 30mins
2324,Pune,Lucknow,2/2/2022,11/8/2021,On Time
2846,Ahmedabad,Srinagar,1/30/2022,8/19/2021,On Time
3157,Calicut,Port Blair,8/19/2021,2/14/2022,Departed
4929,Mangalore,Bangalore,3/14/2021,5/23/2021,Departing Early By 30mins
1977,Indore,Mangalore,3/16/2021,9/11/2021,Departed
1315,Kochi,Lucknow,4/20/2021,11/1/2021,Departing Late By 30mins
4337,Coimbatore,Calicut,9/7/2021,2/5/2022,Departing Late By 30mins
3460,Chandigarh,Visakhapatnam,11/9/2021,9/18/2021,Departing Early By 30mins
1311,New Delhi,Chandigarh,9/17/2021,11/12/2021,Arriving Early By 30mins
4139,Amritsar,Thiruvananthapuram,1/13/2022,8/27/2021,Departing Early By 30mins
2163,Srinagar,Ahmedabad,6/7/2021,12/4/2021,On Time
4451,Lucknow,Agartala,1/13/2022,8/8/2021,Departing Early By 30mins
1963,Chandigarh,Lucknow,1/30/2022,11/28/2021,Departing Early By 30mins
2177,Ahmedabad,Mumbai,2/22/2022,9/20/2021,Arriving Late By 30mins
1296,Coimbatore,Kochi,11/19/2021,8/13/2021,Departed
2934,Pune,Madurai,11/21/2021,8/10/2021,Departing Early By 30mins
2044,Calicut,Kochi,9/3/2021,8/22/2021,Departing Late By 30mins
4615,Siliguri,Guwahati,8/9/2021,5/30/2021,Arriving Late By 30mins
2642,Bangalore,Tiruchirappally,10/30/2021,6/30/2021,Arriving Early By 30mins
2030,Guwahati,Indore,4/7/2021,6/10/2021,Departed
3868,Agartala,Patna,3/2/2021,9/15/2021,On Time
2900,Hyderabad City,Mangalore,5/16/2021,1/5/2022,On Time
3330,Agartala,Kochi,2/13/2022,2/3/2022,Departing Late By 30mins
1036,Jammu,Srinagar,1/31/2022,2/15/2022,Arriving Early By 30mins
3160,New Delhi,Visakhapatnam,6/4/2021,6/23/2021,Arriving Early By 30mins
3994,Vasco da Gama,Agartala,4/18/2021,8/7/2021,Departing Late By 30mins
4110,Chennai,Lucknow,12/23/2021,3/4/2021,Arriving Late By 30mins
3415,Naqpur,Chandigarh,1/22/2022,8/19/2021,Arriving Late By 30mins
4245,New Delhi,Jammu,9/26/2021,9/5/2021,Arriving Early By 30mins
1232,Hyderabad City,Tiruchirappally,11/6/2021,6/20/2021,Arriving Early By 30mins
3225,Kolkata,Mumbai,8/18/2021,12/28/2021,Departing Late By 30mins
3818,Siliguri,Visakhapatnam,10/11/2021,5/10/2021,Arriving Early By 30mins
3976,Indore,Coimbatore,3/21/2021,11/28/2021,Arriving Late By 30mins
1611,Agartala,Calicut,10/16/2021,12/8/2021,Departing Early By 30mins
4767,Calicut,Kolkata,5/23/2021,2/25/2021,Arriving Late By 30mins
2032,Hyderabad City,Pune,5/8/2021,10/8/2021,Departing Late By 30mins
1609,Visakhapatnam,Lucknow,3/25/2021,10/30/2021,Arriving Late By 30mins
2708,Vasco da Gama,Siliguri,7/11/2021,9/21/2021,Arriving Late By 30mins
1876,Jaipur,Srinagar,7/5/2021,3/21/2021,Departed
3859,Siliguri,Agartala,8/20/2021,9/9/2021,Arriving Late By 30mins
1930,New Delhi,Calicut,12/1/2021,8/19/2021,Departing Late By 30mins
4681,Chennai,Visakhapatnam,1/8/2022,6/28/2021,Departed
1340,Bangalore,Lucknow,9/11/2021,5/12/2021,Departed
4115,Coimbatore,Chandigarh,5/22/2021,6/7/2021,Departing Late By 30mins
4671,Pune,New Delhi,3/7/2021,3/19/2021,Departed
1731,Guwahati,Jammu,10/11/2021,4/6/2021,Departed
2676,Siliguri,Lucknow,3/23/2021,2/11/2022,Departed
2414,Ahmedabad,Mangalore,9/6/2021,11/8/2021,Arriving Late By 30mins
3167,Jammu,Hyderabad City,1/1/2022,10/17/2021,Departed
3691,Port Blair,Agartala,4/20/2021,1/1/2022,On Time
4707,Siliguri,Madurai,2/20/2022,9/23/2021,Departing Early By 30mins
3761,Port Blair,Chandigarh,1/5/2022,11/26/2021,Departing Late By 30mins
2541,Madurai,Mumbai,11/20/2021,3/3/2021,Departed
3259,Siliguri,Guwahati,7/28/2021,12/9/2021,Departing Early By 30mins
2731,Bangalore,Chennai,2/17/2022,12/4/2021,Departed
4454,Thiruvananthapuram,Siliguri,9/17/2021,12/5/2021,Departing Late By 30mins
4525,Madurai,Bangalore,11/3/2021,6/2/2021,Arriving Early By 30mins
3414,Tiruchirappally,Chandigarh,8/2/2021,6/22/2021,On Time
1967,Ahmedabad,Naqpur,6/13/2021,8/21/2021,Departing Late By 30mins
2392,Naqpur,Calicut,4/24/2021,2/9/2022,Departing Early By 30mins
4446,Mangalore,Port Blair,10/10/2021,4/20/2021,Departing Late By 30mins
2566,Vasco da Gama,Naqpur,7/18/2021,7/29/2021,Departing Early By 30mins
4256,Patna,Kolkata,4/6/2021,2/22/2021,Arriving Early By 30mins
4927,Chennai,Amritsar,9/5/2021,3/10/2021,Arriving Late By 30mins
4056,Kolkata,Siliguri,1/8/2022,11/20/2021,Arriving Late By 30mins
2961,Srinagar,Siliguri,1/3/2022,10/23/2021,Departing Late By 30mins
3560,Ahmedabad,Naqpur,11/28/2021,12/14/2021,Arriving Late By 30mins
3216,Hyderabad City,Patna,5/20/2021,1/3/2022,Arriving Early By 30mins
4746,Calicut,Bangalore,6/6/2021,12/6/2021,Departed
1445,Port Blair,Jammu,5/30/2021,10/11/2021,Departed
2087,Amritsar,Bangalore,2/22/2022,2/18/2022,Departing Early By 30mins
4208,Srinagar,Thiruvananthapuram,9/20/2021,12/2/2021,Arriving Late By 30mins
2252,Kochi,Kolkata,6/24/2021,9/8/2021,On Time
4324,Jaipur,Mumbai,10/5/2021,7/15/2021,Arriving Early By 30mins
2981,Srinagar,Ahmedabad,5/2/2021,11/6/2021,Departing Late By 30mins
1376,Vasco da Gama,Chandigarh,3/18/2021,5/23/2021,Departing Early By 30mins
1708,Amritsar,Kochi,5/23/2021,5/28/2021,On Time
1122,Madurai,Amritsar,4/24/2021,8/17/2021,Arriving Late By 30mins
1021,Tiruchirappally,Chennai,7/3/2021,12/4/2021,Departing Late By 30mins
4410,Jammu,New Delhi,9/29/2021,9/6/2021,Arriving Early By 30mins
1058,Vasco da Gama,Jammu,8/7/2021,1/27/2022,Departed
3231,Srinagar,Chandigarh,9/1/2021,4/10/2021,On Time
3443,Kolkata,Chennai,4/4/2021,3/29/2021,Departing Early By 30mins
4291,Tiruchirappally,Bangalore,1/18/2022,1/8/2022,Departed
1145,Coimbatore,Lucknow,11/6/2021,4/24/2021,Departing Late By 30mins
4410,Agartala,Coimbatore,5/26/2021,10/14/2021,On Time
4110,Agartala,Srinagar,3/28/2021,2/16/2022,Departing Late By 30mins
1445,Amritsar,Mangalore,6/18/2021,12/9/2021,Departing Late By 30mins
3425,Coimbatore,Lucknow,1/17/2022,12/1/2021,Arriving Early By 30mins
3673,Vasco da Gama,Mangalore,10/27/2021,10/10/2021,Arriving Early By 30mins
3274,Jammu,Thiruvananthapuram,1/27/2022,2/8/2022,Departing Early By 30mins
2699,Mumbai,Patna,3/22/2021,5/9/2021,Departed
3898,Amritsar,Pune,1/29/2022,3/13/2021,Departing Early By 30mins
